epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7922,1.03887,2.80079,1.60254,0.00389,0.95455,0.24765,0.14809,0.76983,3.14764,1.48836,6e-05,6e-05,6e-05
2,62.0842,0.79366,2.67317,1.40624,0.00407,1,0.56661,0.43617,0.72713,3.12529,1.33592,0.000137834,0.000137834,0.000137834
3,90.2225,0.71716,2.41481,1.28979,0.00407,1,0.62469,0.43118,0.68284,3.1187,1.29505,0.000213194,0.000213194,0.000213194
4,118.219,0.80453,2.20602,1.34192,0.00407,1,0.76579,0.56167,0.62484,3.03123,1.30375,0.000286078,0.000286078,0.000286078
5,145.969,0.76469,1.94961,1.30329,0.00407,1,0.82347,0.6598,0.63533,3.07767,1.28188,0.000356488,0.000356488,0.000356488
6,174.11,0.69621,1.78887,1.23764,0.00407,1,0.85658,0.63078,0.80263,3.12752,1.41984,0.000424422,0.000424422,0.000424422
7,202.13,0.75642,1.6454,1.23903,0.00389,0.95455,0.80711,0.60035,0.73809,2.94154,1.36792,0.000489881,0.000489881,0.000489881
8,230.328,0.74532,1.50878,1.27421,0.77199,0.61623,0.71801,0.47366,0.90518,2.96905,1.54197,0.000552866,0.000552866,0.000552866
9,264.61,0.67172,1.33267,1.17424,1,0.36259,0.60092,0.43142,0.94847,3.03107,1.64346,0.000613375,0.000613375,0.000613375
10,292.95,0.73494,1.23972,1.17573,0.69992,0.31807,0.41944,0.23297,1.21718,3.06939,1.93424,0.000671409,0.000671409,0.000671409
11,320.653,0.81381,1.44567,1.3276,0.66892,0.27273,0.35693,0.18441,1.79871,3.41425,2.32265,0.000726969,0.000726969,0.000726969
12,348.617,0.79937,1.34684,1.28904,0.56687,0.17892,0.28963,0.15803,1.9213,3.45731,2.51316,0.000780053,0.000780053,0.000780053
