epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5508,1.35185,3.36165,1.62811,0.00494,0.58333,0.17407,0.09845,1.2609,3.89316,1.59293,0.00017148,0.00017148,0.00017148
2,68.186,1.30157,3.07146,1.51669,0.00819,0.59848,0.33888,0.22036,1.12271,3.70581,1.43035,0.000351724,0.000351724,0.000351724
3,100.508,1.09089,3.1362,1.33896,0.01801,0.64394,0.37622,0.25044,1.16082,3.53256,1.50476,0.00052622,0.00052622,0.00052622
4,132.831,1.24853,2.06922,1.50408,0.90095,0.11433,0.33152,0.18527,1.37122,3.63866,1.64186,0.00069497,0.00069497,0.00069497
5,164.647,1.3619,2.2043,1.60057,0.86428,0.13357,0.30763,0.17196,1.59392,3.51208,1.81572,0.000857972,0.000857972,0.000857972
6,196.534,1.39322,2.08218,1.63201,0.61375,0.18984,0.27378,0.12319,1.67849,3.39518,1.99813,0.00101523,0.00101523,0.00101523
7,227.748,1.30331,2.01739,1.5234,0.70938,0.27268,0.37848,0.2185,1.51359,3.08809,1.80982,0.00116673,0.00116673,0.00116673
8,264.214,1.18587,1.8553,1.48918,0.74301,0.35873,0.49888,0.26292,1.43728,2.98025,1.89406,0.00127427,0.00127427,0.00127427
9,300.135,1.22324,1.89549,1.4408,0.71711,0.44267,0.48724,0.2608,1.47715,3.05708,1.89918,0.00125216,0.00125216,0.00125216
10,334.123,1.30517,1.76121,1.53784,0.63681,0.50978,0.55245,0.28731,1.49791,2.59732,1.90762,0.00123006,0.00123006,0.00123006
11,367.776,1.18795,1.61875,1.42798,0.52696,0.43828,0.43108,0.23156,1.4732,2.7677,1.78115,0.00120795,0.00120795,0.00120795
12,401.374,1.33395,1.7426,1.47539,0.63204,0.51698,0.5543,0.30835,1.41575,2.46306,1.79533,0.00118585,0.00118585,0.00118585
13,435.132,1.25446,1.66983,1.44267,0.50654,0.56213,0.53889,0.31103,1.55571,2.46112,1.87675,0.00116374,0.00116374,0.00116374
14,468.651,1.19987,1.54923,1.39342,0.68024,0.4922,0.55016,0.3085,1.48991,2.48596,1.84108,0.00114164,0.00114164,0.00114164
15,501.967,1.28414,1.48515,1.5114,0.65157,0.58861,0.63666,0.37515,1.42266,2.1558,1.78845,0.00111953,0.00111953,0.00111953
16,535.692,1.17033,1.48043,1.3923,0.74053,0.68744,0.72414,0.39686,1.40223,2.00892,1.69602,0.00109743,0.00109743,0.00109743
17,569.154,1.15854,1.52864,1.37486,0.75693,0.63188,0.73757,0.43805,1.32007,1.97766,1.62786,0.00107532,0.00107532,0.00107532
18,602.976,1.16758,1.46555,1.42626,0.78331,0.68457,0.76685,0.47241,1.35599,1.76603,1.654,0.00105322,0.00105322,0.00105322
19,636.773,1.09407,1.33028,1.35783,0.78526,0.74293,0.8097,0.50236,1.2275,1.76873,1.51152,0.00103111,0.00103111,0.00103111
20,670.232,1.09726,1.27472,1.39349,0.73766,0.79352,0.76648,0.46267,1.26814,1.79176,1.5385,0.00100901,0.00100901,0.00100901
21,703.905,1.10599,1.33951,1.38478,0.82258,0.79283,0.80167,0.51095,1.16564,1.55174,1.47412,0.000986903,0.000986903,0.000986903
22,737.533,1.05356,1.25189,1.27742,0.81137,0.72301,0.78871,0.497,1.1872,1.68727,1.497,0.000964798,0.000964798,0.000964798
23,771.302,1.00601,1.25559,1.31559,0.68752,0.7109,0.76547,0.46727,1.22654,1.76462,1.61012,0.000942693,0.000942693,0.000942693
24,804.885,1.01959,1.22417,1.32793,0.71407,0.78093,0.76963,0.49124,1.2338,1.59992,1.536,0.000920589,0.000920589,0.000920589
25,838.758,0.99625,1.11367,1.29369,0.84364,0.74341,0.84188,0.51773,1.20929,1.51372,1.51292,0.000898484,0.000898484,0.000898484
26,873.928,1.13915,1.28149,1.38223,0.80032,0.77019,0.82828,0.55056,1.13879,1.4196,1.45105,0.000876379,0.000876379,0.000876379
27,907.953,1.06819,1.16183,1.30855,0.80324,0.75186,0.82031,0.5375,1.1694,1.45194,1.44309,0.000854274,0.000854274,0.000854274
28,939.992,1.05421,1.21554,1.30897,0.75228,0.7176,0.77382,0.49973,1.18062,1.48563,1.47358,0.000832169,0.000832169,0.000832169
29,971.95,1.00654,1.10742,1.26135,0.79402,0.71439,0.80734,0.54154,1.08809,1.38954,1.40032,0.000810064,0.000810064,0.000810064
30,1003.66,1.01154,1.09417,1.23155,0.71965,0.76386,0.81114,0.53569,1.12788,1.36776,1.42107,0.00078796,0.00078796,0.00078796
31,1035.13,0.99176,1.05234,1.24474,0.82497,0.80408,0.85767,0.58195,1.13938,1.22896,1.42654,0.000765855,0.000765855,0.000765855
32,1066.72,0.97527,1.07478,1.28128,0.85474,0.75678,0.84556,0.54794,1.2035,1.31539,1.49135,0.00074375,0.00074375,0.00074375
33,1098.39,0.96201,1.13466,1.23436,0.85676,0.78021,0.84412,0.54927,1.16882,1.20188,1.44244,0.000721645,0.000721645,0.000721645
34,1130.23,0.95679,0.98298,1.23879,0.83523,0.77459,0.83667,0.54394,1.18776,1.24628,1.47419,0.00069954,0.00069954,0.00069954
35,1163.03,0.89529,0.98579,1.22187,0.80935,0.80253,0.85552,0.56914,1.15926,1.19822,1.4767,0.000677435,0.000677435,0.000677435
36,1194.94,0.97529,1.01687,1.25374,0.87777,0.7887,0.87158,0.59557,1.11314,1.06386,1.42254,0.00065533,0.00065533,0.00065533
37,1226.52,0.88424,0.93439,1.23569,0.88369,0.78336,0.87611,0.58689,1.12108,1.11457,1.41617,0.000633226,0.000633226,0.000633226
38,1258.21,1.07292,1.19416,1.34322,0.85405,0.77396,0.84536,0.56102,1.16821,1.11442,1.46304,0.000611121,0.000611121,0.000611121
39,1289.96,0.93326,1.01794,1.22627,0.85286,0.78149,0.84585,0.56799,1.14596,1.10856,1.4542,0.000589016,0.000589016,0.000589016
40,1321.72,0.86763,0.94029,1.19171,0.89393,0.81684,0.87489,0.5873,1.09222,1.10548,1.41352,0.000566911,0.000566911,0.000566911
41,1353.32,0.91801,0.98314,1.23405,0.86824,0.83493,0.87096,0.60657,1.03043,1.0876,1.36089,0.000544806,0.000544806,0.000544806
42,1385.31,0.87586,0.94249,1.17775,0.90098,0.80204,0.87549,0.58161,1.08666,1.09189,1.39122,0.000522701,0.000522701,0.000522701
43,1416.96,0.92486,0.95202,1.19443,0.91871,0.7821,0.87181,0.57154,1.10933,1.05384,1.40843,0.000500597,0.000500597,0.000500597
44,1448.83,0.91385,0.95301,1.23654,0.89523,0.8331,0.88494,0.5863,1.11991,1.02886,1.40858,0.000478492,0.000478492,0.000478492
45,1480.39,0.84021,0.82118,1.19766,0.89388,0.8455,0.88947,0.60642,1.10824,0.95103,1.38534,0.000456387,0.000456387,0.000456387
46,1512.24,0.88087,0.82857,1.16133,0.91197,0.82966,0.88313,0.61071,1.08267,0.94657,1.37652,0.000434282,0.000434282,0.000434282
47,1543.86,0.78615,0.76561,1.12166,0.89581,0.83809,0.88498,0.61408,1.04039,0.94883,1.34971,0.000412177,0.000412177,0.000412177
48,1575.65,0.81252,0.77479,1.1802,0.89563,0.87164,0.8937,0.63017,1.01514,0.92176,1.33063,0.000390072,0.000390072,0.000390072
49,1607.3,0.74634,0.72175,1.11634,0.91406,0.8491,0.89219,0.63679,0.98745,0.94295,1.31328,0.000367967,0.000367967,0.000367967
50,1639.04,0.79348,0.77217,1.15503,0.89928,0.8748,0.88595,0.62531,0.99546,0.95932,1.33097,0.000345863,0.000345863,0.000345863
51,1670.62,0.82667,0.76854,1.14749,0.88618,0.87884,0.87618,0.60352,0.99815,0.98489,1.33617,0.000323758,0.000323758,0.000323758
52,1702.4,0.72513,0.7966,1.11019,0.88871,0.87317,0.87966,0.61346,0.96229,0.9555,1.30009,0.000301653,0.000301653,0.000301653
53,1733.96,0.82859,0.76941,1.11719,0.91697,0.8516,0.88181,0.62677,0.94434,0.93723,1.26408,0.000279548,0.000279548,0.000279548
54,1765.77,0.78495,0.72765,1.11631,0.90758,0.85544,0.88557,0.62588,0.96967,0.93505,1.27021,0.000257443,0.000257443,0.000257443
55,1797.62,0.62885,0.77226,1.06812,0.89952,0.85792,0.88702,0.62943,0.98398,0.92089,1.29339,0.000235338,0.000235338,0.000235338
56,1829.34,0.61766,0.71365,1.05767,0.91554,0.83426,0.87364,0.61639,1.00658,1.04414,1.33348,0.000213234,0.000213234,0.000213234
57,1860.76,0.62364,0.70032,1.05076,0.91941,0.84752,0.8854,0.62483,0.97488,0.99943,1.29874,0.000191129,0.000191129,0.000191129
58,1892.15,0.7332,0.94753,1.14559,0.92133,0.84971,0.88783,0.62797,0.96279,0.93751,1.28793,0.000169024,0.000169024,0.000169024
59,1923.53,0.64812,0.7016,1.10226,0.91113,0.85725,0.89354,0.63503,0.94658,0.89903,1.27958,0.000146919,0.000146919,0.000146919
60,1954.83,0.61102,0.64503,1.06348,0.90116,0.85649,0.89492,0.64044,0.93241,0.87057,1.2668,0.000124814,0.000124814,0.000124814
61,1986.03,0.61121,0.65449,1.05042,0.92555,0.84212,0.89726,0.65088,0.93239,0.85831,1.26373,0.000102709,0.000102709,0.000102709
62,2017.27,0.5954,0.64586,1.06014,0.90172,0.86761,0.89966,0.65361,0.92359,0.86196,1.25765,8.06045e-05,8.06045e-05,8.06045e-05
63,2048.45,0.59285,0.59609,0.99696,0.90067,0.86835,0.89888,0.6491,0.91484,0.85784,1.25114,5.84997e-05,5.84997e-05,5.84997e-05
64,2081,0.55036,0.59343,0.97834,0.89854,0.86494,0.90087,0.65093,0.90902,0.8516,1.24725,3.63948e-05,3.63948e-05,3.63948e-05
